,cluster,cleaning_time,driving_time,total_time,feas
0,47.0,220,25.99,245.99,1
1,27.0,570,31.721666666666668,601.7216666666667,0
2,40.0,160,18.391666666666666,178.39166666666665,1
3,46.0,740,32.97666666666667,772.9766666666667,0
4,43.0,510,43.28499999999999,553.285,0
5,44.0,500,47.824999999999996,547.825,0
6,31.0,510,34.961666666666666,544.9616666666667,0
7,30.0,550,30.395000000000003,580.395,0
8,33.0,380,30.56,410.56,1
9,28.0,700,35.78999999999999,735.79,0
10,34.0,430,27.09166666666666,457.09166666666664,0
11,50.0,260,25.623333333333335,285.62333333333333,1
12,29.0,370,30.311666666666667,400.31166666666667,1
13,39.0,650,47.27333333333334,697.2733333333333,0
14,48.0,800,51.448333333333345,851.4483333333334,0
15,36.0,650,50.650000000000006,700.65,0
16,35.0,610,41.89833333333333,651.8983333333333,0
17,45.0,550,41.16666666666666,591.1666666666666,0
18,32.0,590,41.705,631.705,0
19,42.0,440,51.773333333333326,491.7733333333333,0
20,37.0,300,53.59833333333333,353.59833333333336,1
21,26.0,270,53.080000000000005,323.08,1
22,49.0,380,47.794999999999995,427.795,0
23,41.0,160,34.61000000000001,194.61,1
24,38.0,260,46.41833333333333,306.41833333333335,1
25,25.0,340,20.85666666666667,360.8566666666667,1
26,5.0,320,30.66666666666667,350.6666666666667,1
27,1.0,260,27.8,287.8,1
28,6.0,500,47.739999999999995,547.74,0
29,8.0,410,33.11,443.11,0
30,22.0,210,24.301666666666666,234.30166666666668,1
31,7.0,410,25.573333333333334,435.5733333333333,0
32,11.0,520,27.226666666666667,547.2266666666667,0
33,19.0,280,19.29,299.29,1
34,12.0,300,15.173333333333336,315.17333333333335,1
35,4.0,630,39.583333333333336,669.5833333333334,0
36,3.0,650,28.648333333333333,678.6483333333333,0
37,17.0,440,30.246666666666666,470.24666666666667,0
38,13.0,200,32.90166666666667,232.90166666666667,1
39,24.0,340,27.526666666666664,367.52666666666664,1
40,15.0,300,36.71500000000001,336.71500000000003,1
41,21.0,600,43.05833333333333,643.0583333333333,0
42,23.0,420,34.54833333333333,454.54833333333335,0
43,20.0,550,34.95333333333335,584.9533333333334,0
44,9.0,510,26.886666666666663,536.8866666666667,0
45,10.0,400,31.55,431.55,0
46,18.0,430,25.70333333333333,455.7033333333333,0
47,14.0,180,33.306666666666665,213.30666666666667,1
48,2.0,210,31.258333333333333,241.25833333333333,1
49,16.0,210,27.756666666666668,237.75666666666666,1
