solution,season,prob,penalty,avg_totalOT,numOT,avg_totalOT15,numOT15,avg_numMoves,avg_numMoves15,avg_numStopMoved,avg_numStopMoved15,stillInfeas,stillInfeas15,avg_increaseTT
Balanced,winter,-,1.1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
Balanced,winter,-,1.2,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
Balanced,winter,-,1.3,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
Balanced,winter,-,1.4,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
Balanced,winter,-,1.5,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
HTM,winter,-,1.1,2.444647297455892,1,0.39381275088439055,1,13.0,5.0,13.0,5.0,0,0,-0.21870640095017535
HTM,winter,-,1.2,3.7783914525587297,1,1.1189583608368356,1,16.0,8.0,16.0,8.0,0,0,0.16042923516083363
HTM,winter,-,1.3,5.374776917372343,1,2.0064625248330468,1,21.0,10.0,21.0,10.0,0,0,-0.020528479204749317
HTM,winter,-,1.4,7.097182400073658,1,3.1366089503520707,1,26.0,14.0,26.0,14.0,0,0,0.6784808868258096
HTM,winter,-,1.5,8.913591793347432,1,4.629870802096291,1,30.0,21.0,30.0,21.0,0,0,0.5232933737266592
TSP,winter,-,1.1,0.47130870449005424,1,0.0,0,5.0,0.0,5.0,0.0,0,0,0.028262484731271798
TSP,winter,-,1.2,1.0974195414661352,1,0.0735952660014353,1,9.0,1.0,9.0,1.0,0,0,0.17982866782077167
TSP,winter,-,1.3,1.933081356612874,1,0.17417264927933238,1,10.0,1.0,10.0,1.0,0,0,0.2688463674247359
TSP,winter,-,1.4,2.7702414609677097,1,0.6000006715200915,1,11.0,7.0,11.0,7.0,0,0,0.39045614080454527
TSP,winter,-,1.5,3.8235095015929206,1,1.2500007194858134,1,18.0,7.0,18.0,7.0,0,0,0.3354901122557621
VND,winter,-,1.1,0.4268287115060938,1,0.0,0,10.0,0.0,10.0,0.0,1,0,0.5770911277662094
VND,winter,-,1.2,1.6706894852644978,1,0.0,0,19.0,0.0,19.0,0.0,1,0,1.0823465910335557
VND,winter,-,1.3,3.4336142122369098,1,0.0987410332593915,1,26.0,4.0,26.0,4.0,1,0,3.999637476751815
VND,winter,-,1.4,5.354751077262296,1,0.580848258415412,1,31.0,6.0,31.0,6.0,1,0,4.165733692516248
VND,winter,-,1.5,7.383020710667605,1,1.4915352481937267,1,42.0,13.0,42.0,13.0,1,1,7.553190601821903
VNDmin,winter,-,1.1,0.3356584233603494,1,0.0,0,8.0,0.0,8.0,0.0,0,0,0.6011806712826058
VNDmin,winter,-,1.2,1.4493367821977443,1,0.0,0,19.0,0.0,19.0,0.0,1,0,2.8518518093089114
VNDmin,winter,-,1.3,3.3140209552871314,1,0.12991688453936376,1,21.0,1.0,21.0,1.0,1,0,2.5220341858706092
VNDmin,winter,-,1.4,5.438013041215799,1,0.48605069886645064,1,17.0,6.0,17.0,6.0,1,0,2.7160165475689553
VNDmin,winter,-,1.5,7.654506512715215,1,1.4559989347162543,1,14.0,11.0,14.0,11.0,1,0,2.563555947002179
